id,first_name,last_name,position,team_id,team_abbreviation,team_city,height_feet,height_inches,weight_pounds
46405444,Jackie,Dinkins,,5,CHI,Chicago,,,
46405446,Gil,McGregor,,26,SAC,Sacramento,,,
46405447,Steve,Patterson,,6,CLE,Cleveland,,,
46405448,Barry,Nelson,,17,MIL,Milwaukee,,,
46405449,Kenny,McIntosh,,5,CHI,Chicago,,,
46405450,Chuck,Lowery,,17,MIL,Milwaukee,,,
46405451,Elmore,Smith,,13,LAC,LA,,,
46405452,Howard,Porter,,5,CHI,Chicago,,,
46405453,Dennis,Layton,,24,PHX,Phoenix,,,
46405457,Barry,Yates,,23,PHI,Philadelphia,,,
46405458,Vic,Bartolome,,10,GSW,Golden State,,,
46399197,Dave,Zeller,,26,SAC,Sacramento,,,
46399198,Gary,Phillips,,2,BOS,Boston,,,
46399199,Robert,Nordmann,,26,SAC,Sacramento,,,
46399200,Stacey,Arceneaux,,1,ATL,Atlanta,,,
46399201,Johnny,Egan,,9,DET,Detroit,,,
46399202,Sam,Stith,,20,NYK,New York,,,
46399203,Jack,Turner,,30,WAS,Washington,,,
46400200,Dave,DeBusschere,,9,DET,Detroit,,,
